quarks,B,S,J,status,dE
uddbbS,1.3333333333333333,1,0.0,Allowed,-90.672831
uddbbS,1.3333333333333333,1,1.0,Allowed,-90.424638
uddbbS,1.3333333333333333,1,2.0,Allowed,-90.176445
uddbbS,1.3333333333333333,1,3.0,Allowed,-89.928252
uddbbC,1.3333333333333333,0,0.0,Allowed,-89.254665
uddbbC,1.3333333333333333,0,1.0,Allowed,-89.006472
uddbbC,1.3333333333333333,0,2.0,Allowed,-88.758279
uddbbC,1.3333333333333333,0,3.0,Allowed,-88.510086
uddbbB,1.3333333333333333,0,0.0,Allowed,-86.354665
uddbbB,1.3333333333333333,0,1.0,Allowed,-86.106472
uddbbB,1.3333333333333333,0,2.0,Allowed,-85.858279
uddbbB,1.3333333333333333,0,3.0,Allowed,-85.610086
uddbUU,0.6666666666666666,0,0.0,Allowed,-94.902765
uddbUU,0.6666666666666666,0,1.0,Allowed,-94.654572
uddbUU,0.6666666666666666,0,2.0,Allowed,-94.406379
uddbUU,0.6666666666666666,0,3.0,Allowed,-94.158186
uddbUD,0.6666666666666666,0,0.0,Allowed,-94.902765
uddbUD,0.6666666666666666,0,1.0,Allowed,-94.654572
uddbUD,0.6666666666666666,0,2.0,Allowed,-94.406379
uddbUD,0.6666666666666666,0,3.0,Allowed,-94.158186
uddbUS,0.6666666666666666,1,0.0,Allowed,-94.790931
uddbUS,0.6666666666666666,1,1.0,Allowed,-94.542738
uddbUS,0.6666666666666666,1,2.0,Allowed,-94.294545
uddbUS,0.6666666666666666,1,3.0,Allowed,-94.046352
uddbUC,0.6666666666666666,0,0.0,Allowed,-93.622765
uddbUC,0.6666666666666666,0,1.0,Allowed,-93.374572
uddbUC,0.6666666666666666,0,2.0,Allowed,-93.126379
uddbUC,0.6666666666666666,0,3.0,Allowed,-92.878186
uddbUB,0.6666666666666666,0,0.0,Allowed,-90.722765
uddbUB,0.6666666666666666,0,1.0,Allowed,-90.474572
uddbUB,0.6666666666666666,0,2.0,Allowed,-90.22637900000001
uddbUB,0.6666666666666666,0,3.0,Allowed,-89.978186
uddbDD,0.6666666666666666,0,0.0,Allowed,-94.902765
uddbDD,0.6666666666666666,0,1.0,Allowed,-94.654572
uddbDD,0.6666666666666666,0,2.0,Allowed,-94.406379
uddbDD,0.6666666666666666,0,3.0,Allowed,-94.158186
uddbDS,0.6666666666666666,1,0.0,Allowed,-94.790931
uddbDS,0.6666666666666666,1,1.0,Allowed,-94.542738
uddbDS,0.6666666666666666,1,2.0,Allowed,-94.294545
uddbDS,0.6666666666666666,1,3.0,Allowed,-94.046352
uddbDC,0.6666666666666666,0,0.0,Allowed,-93.622765
uddbDC,0.6666666666666666,0,1.0,Allowed,-93.374572
uddbDC,0.6666666666666666,0,2.0,Allowed,-93.126379
uddbDC,0.6666666666666666,0,3.0,Allowed,-92.878186
uddbDB,0.6666666666666666,0,0.0,Allowed,-90.722765
uddbDB,0.6666666666666666,0,1.0,Allowed,-90.474572
uddbDB,0.6666666666666666,0,2.0,Allowed,-90.22637900000001
uddbDB,0.6666666666666666,0,3.0,Allowed,-89.978186
uddbSS,0.6666666666666666,2,0.0,Allowed,-94.679097
uddbSS,0.6666666666666666,2,1.0,Allowed,-94.430904
uddbSS,0.6666666666666666,2,2.0,Allowed,-94.182711
uddbSS,0.6666666666666666,2,3.0,Allowed,-93.934518
uddbSC,0.6666666666666666,1,0.0,Allowed,-93.510931
uddbSC,0.6666666666666666,1,1.0,Allowed,-93.262738
uddbSC,0.6666666666666666,1,2.0,Allowed,-93.014545
uddbSC,0.6666666666666666,1,3.0,Allowed,-92.766352
uddbSB,0.6666666666666666,1,0.0,Allowed,-90.610931
uddbSB,0.6666666666666666,1,1.0,Allowed,-90.36273800000001
uddbSB,0.6666666666666666,1,2.0,Allowed,-90.11454499999999
uddbSB,0.6666666666666666,1,3.0,Allowed,-89.866352
uddbCC,0.6666666666666666,0,0.0,Allowed,-92.092765
uddbCC,0.6666666666666666,0,1.0,Allowed,-91.844572
uddbCC,0.6666666666666666,0,2.0,Allowed,-91.596379
uddbCC,0.6666666666666666,0,3.0,Allowed,-91.348186
uddbCB,0.6666666666666666,0,0.0,Allowed,-89.19276500000001
uddbCB,0.6666666666666666,0,1.0,Allowed,-88.944572
uddbCB,0.6666666666666666,0,2.0,Allowed,-88.69637900000001
uddbCB,0.6666666666666666,0,3.0,Allowed,-88.448186
uddbBB,0.6666666666666666,0,0.0,Allowed,-86.292765
uddbBB,0.6666666666666666,0,1.0,Allowed,-86.044572
uddbBB,0.6666666666666666,0,2.0,Allowed,-85.796379
